2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:56,718 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709140&intPage=2&code=10004124', 'number': 12, 'result': '', 'title': '2022년 제21차 건축위원회(소위원회) 개최 결과 알림', 'apperiod': '', 'registrationdate': '2022.09.07', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
