2022-09-16 10:12:57,332 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284058?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 6, 'result': '', 'title': '2022년 소규모음식점 위생컨설팅 및 위생물품 지원 신청 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:57,332 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284058?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 6, 'result': '', 'title': '2022년 소규모음식점 위생컨설팅 및 위생물품 지원 신청 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:57,332 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284058?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 6, 'result': '', 'title': '2022년 소규모음식점 위생컨설팅 및 위생물품 지원 신청 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:57,332 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284058?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 6, 'result': '', 'title': '2022년 소규모음식점 위생컨설팅 및 위생물품 지원 신청 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:57,332 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284058?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 6, 'result': '', 'title': '2022년 소규모음식점 위생컨설팅 및 위생물품 지원 신청 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:57,332 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284058?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 6, 'result': '', 'title': '2022년 소규모음식점 위생컨설팅 및 위생물품 지원 신청 안내', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:58,064 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284053?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 7, 'result': '', 'title': '착한임대인 장관 표창 신청 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:58,064 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284053?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 7, 'result': '', 'title': '착한임대인 장관 표창 신청 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:58,064 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284053?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 7, 'result': '', 'title': '착한임대인 장관 표창 신청 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:58,064 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284053?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 7, 'result': '', 'title': '착한임대인 장관 표창 신청 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
2022-09-16 10:12:58,064 - root - INFO - {'link': 'https://www.gangseo.seoul.kr/gs040101/284053?srchCtgry=&srchStdg=&curPage=&srchKey=&srchText=&srchBeginDt=&srchEndDt=', 'number': 7, 'result': '', 'title': '착한임대인 장관 표창 신청 공고', 'apperiod': '', 'registrationdate': '\n\t\t\t\t\t\t\t2022-09-14', 'center_name ': '강서구_공지사항'}
